state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crime,crime_rate
NV,2014,2838281,18043,170,987,5954,10562,74574,21924,42466,10184,184864,6.513238118
NV,2015,2883758,20118,178,1688,6287,11965,77137,22360,43426,11351,194510,6.745018133
NV,2016,2940058,19936,224,1733,6340,11639,76047,18850,44017,13180,191966,6.529326972
NH,1995,1148000,1314,21,333,314,646,29170,4806,22698,1666,60968,5.310801394
NH,1996,1162000,1373,20,404,317,632,31436,5063,24611,1762,65618,5.646987952
NH,1997,1173000,1328,16,395,274,643,29635,4612,23430,1593,61926,5.279283887
NH,1998,1185000,1270,18,400,255,597,27405,3852,22079,1474,57350,4.839662447
NH,1999,1201134,1159,18,345,257,539,26247,3698,21195,1354,54812,4.563354297
NH,2000,1235786,2167,22,522,453,1170,27901,4992,20761,2148,60136,4.866214701
NH,2001,1259359,2144,17,458,445,1224,27089,4889,20060,2140,58466,4.64252052
NH,2002,1274405,2056,12,446,413,1185,26250,4838,19468,1944,56612,4.442229903
NH,2003,1288705,1937,17,438,480,1002,26456,4589,19934,1933,56786,4.406439022
NH,2004,1299169,2202,17,466,500,1219,26658,4979,19723,1956,57720,4.44284
NH,2005,1306819,1761,19,406,365,971,24031,4192,18493,1346,51584,3.94729492
NH,2006,1314895,1785,13,295,435,1042,26060,4395,20179,1486,55690,4.23531917
NH,2007,1315828,1896,12,357,451,1076,26394,5074,19909,1411,56580,4.299954097
NH,2008,1315809,2054,14,385,421,1234,28387,4266,22714,1407,60882,4.626963336
NH,2009,1324575,2125,11,399,454,1261,28790,4915,22748,1127,61830,4.667912349
NH,2010,1316807,2204,13,411,450,1330,29230,5444,22789,997,62868,4.774275957
NH,2011,1317807,2864,16,581,509,1758,32756,6244,25398,1114,71240,5.405950947
NH,2012,1321617,2841,15,486,471,1869,32074,5988,25024,1062,69830,5.283679008
NH,2013,1322616,2952,21,522,645,1708,30409,5283,24188,938,66666,5.04046526
NH,2014,1327996,2625,16,438,544,1469,26098,4191,21051,856,57288,4.313868415
NH,2015,1330111,2692,15,644,475,1558,23453,3482,19076,895,52290,3.93125085
NH,2016,1334795,2637,17,582,427,1611,20194,2963,16360,871,45662,3.420899839
NJ,1995,7945000,47652,409,1927,22486,22830,326056,69533,206339,50184,747416,9.407375708
NJ,1996,7988000,42459,338,1976,18838,21307,303657,63259,193961,46437,692232,8.665898848
NJ,1997,8053000,39673,337,1729,16957,20650,287038,60894,184979,41165,653422,8.11401962
NJ,1998,8115000,35720,325,1623,15109,18663,260810,54459,171166,35185,593060,7.308194701
NJ,1999,8143412,33540,287,1409,14243,17601,243333,46998,160978,35357,553746,6.799926124
NJ,2000,8414350,32298,289,1357,13553,17099,233637,43924,155562,34151,531870,6.320987361
NJ,2001,8511116,33094,336,1278,14110,17370,240551,46812,156031,37708,547290,6.430296567
NJ,2002,8575252,32252,339,1365,13955,16593,227715,43899,148061,35755,519934,6.063192079
NJ,2003,8642412,31488,406,1288,13342,16452,220350,43457,142287,34606,503676,5.827956362
NJ,2004,8685166,30943,392,1331,13076,16144,211313,41030,139977,30306,484512,5.578615308
NJ,2005,8703150,30919,417,1208,13215,16079,203391,38980,136728,27683,468620,5.384487226
NJ,2006,8724560,30550,427,1201,13360,15562,198820,39384,134687,24749,458740,5.258030204
NJ,2007,8685920,28544,381,1032,12567,14564,192338,37234,133145,21959,441764,5.085978227
NJ,2008,8682661,28351,376,1122,12701,14152,199127,40402,138545,20180,454956,5.239822216
NJ,2009,8707739,27113,319,1041,11639,14114,180752,36945,128303,15504,415730,4.774258852
NJ,2010,8799593,27055,371,981,11818,13885,183042,38732,128754,15556,420194,4.775152669
NJ,2011,8834773,27203,380,1006,12209,13608,189719,43238,129066,17415,433844,4.910641168
NJ,2012,8867749,25727,388,1035,11385,12919,181481,42338,122662,16481,414416,4.673294204
NJ,2013,8911502,25748,404,861,12084,12071,167634,35883,118005,13746,386436,4.336373375
NJ,2014,8938844,23319,352,953,10499,11188,154945,31707,111534,11704,356201,3.9848665
NJ,2015,8935421,22879,363,1373,9729,11414,145701,27960,105963,11778,337160,3.773297307
NJ,2016,8944469,21914,372,1453,8984,11105,138152,25284,101540,11328,320132,3.579105702
NM,1995,1685000,13804,148,954,2604,10098,94508,24383,61478,8647,216624,12.85602374
NM,1996,1713000,14399,197,1088,2782,10332,98698,23586,65139,9973,226194,13.20455342
NM,1997,1730000,14762,134,872,2966,10790,104721,25126,67188,12407,238966,13.81306358
NM,1998,1737000,16700,190,957,2839,12714,100011,24213,65031,10767,233422,13.43822683
NM,1999,1739844,14520,170,944,2579,10827,89220,21481,59613,8126,207480,11.92520709
NM,2000,1819046,13786,135,922,2499,10230,86605,21339,57925,7341,200782,11.03776375
NM,2001,1830935,14288,99,850,2695,10644,83095,19552,56406,7137,194766,10.6375158
NM,2002,1852044,13719,152,1027,2206,10334,80477,19634,53406,7437,188392,10.17211254
NM,2003,1878562,12535,116,940,1937,9542,76816,18997,50595,7224,178702,9.512701737
NM,2004,1903006,13081,169,1039,2062,9811,79895,19924,52069,7902,185952,9.771487846
NM,2005,1925985,12448,144,1041,1893,9370,79575,20939,50707,7929,184046,9.555941505
NM,2006,1954599,12797,134,1073,2095,9495,76000,20906,45864,9230,177594,9.085955738
NM,2007,1969915,13311,183,1028,2323,9777,75168,20823,45442,8903,176958,8.983027186
NM,2008,1984356,12967,161,1118,2151,9537,75718,20706,46995,8017,177370,8.938416292
NM,2009,2009671,12709,198,1069,1932,9510,74639,21955,46182,6502,174696,8.692766129
NM,2010,2065913,12147,140,959,1616,9432,70776,21023,44503,5250,165846,8.027733985
NM,2011,2078674,11904,158,856,1720,9170,73549,21419,46730,5400,170906,8.221876061
NM,2012,2083540,11660,116,957,1847,8740,75094,21384,48247,5463,173508,8.327557906
NM,2013,2086895,12990,123,1135,1832,9470,78958,21828,51146,5984,183466,8.791338328
NM,2014,2085567,12465,101,1070,2086,8797,73877,18505,49082,6290,172273,8.260247693
NM,2015,2080328,13672,117,1663,2485,9407,77212,17084,51485,8643,181768,8.737468322
NM,2016,2081015,14619,139,1526,2737,10217,81931,17281,52907,11743,193100,9.279125811
NY,1995,18136000,152683,1550,4290,72492,74351,674342,146562,425184,102596,1654050,9.12025805
NY,1996,18185000,132206,1353,4174,61822,64857,619250,129828,399522,89900,1502912,8.2645697
NY,1997,18137000,124890,1093,4075,56094,63628,584438,118306,386435,79697,1418656,7.821888956
NY,1998,18175000,115915,924,3843,49125,62023,536287,104821,363295,68171,1304404,7.176913343
NY,1999,18196601,107147,903,3563,43821,58860,489596,93217,338118,58261,1193486,6.558840302
NY,2000,18976457,105111,952,3530,40539,60090,483078,87946,340901,54231,1176378,6.199144551
NY,2001,19084350,98022,960,3546,36555,56961,458003,80400,329316,48287,1112050,5.827025809
NY,2002,19134293,95030,909,3885,36653,53583,442091,76700,318025,47366,1074242,5.614223635
NY,2003,19212425,89486,934,3775,35790,48987,432079,75453,311422,45204,1043130,5.429455157
NY,2004,19280727,84914,889,3608,33506,46911,422734,70696,311036,41002,1015296,5.265859529
NY,2005,19315721,85839,874,3636,35179,46150,405990,68034,302220,35736,983658,5.09252541
NY,2006,19306183,84016,922,3168,34459,45467,398577,68617,297827,32133,965186,4.999362121
NY,2007,19297729,79962,805,2928,31085,45144,383624,64914,290681,28029,927172,4.804565345
NY,2008,19490297,77546,836,2798,31787,42125,388599,65544,297962,25093,932290,4.783354507
NY,2009,19541453,75110,781,2582,28141,43606,377537,62769,292897,21871,905294,4.632685195
NY,2010,19395206,76492,868,2797,28630,44197,379710,65839,293232,20639,912404,4.704275892
NY,2011,19501616,77463,769,2751,28405,45538,371837,65227,287361,19249,898600,4.60782327
NY,2012,19576125,79535,683,2837,28633,47382,375268,64389,293562,17317,909606,4.646506906
NY,2013,19695680,77563,644,2575,27241,46130,358603,56444,286676,15483,871359,4.424112293
NY,2014,19748858,75972,616,4316,24036,45295,339113,50738,272624,15751,828461,4.194981806
NY,2015,19747183,75126,613,6141,23879,44493,317225,44117,257837,15271,784702,3.97374147
NY,2016,19745289,74285,630,6260,22316,45079,305181,39821,250968,14392,758932,3.843610494
NC,1995,7195000,46508,677,2320,12896,30615,359256,101995,234911,22350,811528,11.2790549
NC,1996,7323000,43068,619,2289,12001,28159,361616,98539,238511,24566,809368,11.05241021
NC,1997,7425000,45071,614,2348,12817,29292,362672,100002,238228,24442,815486,10.98297643
NC,1998,7546000,43723,612,2311,12133,28667,357892,99951,233325,24616,803230,10.64444739
NC,1999,7650789,41474,552,2155,12087,26680,354497,98457,230463,25577,791942,10.35111542
NC,2000,8049313,40051,560,2181,12595,24715,355921,97888,232767,25266,791944,9.838653311
NC,2001,8206105,40465,505,2083,13304,24573,363777,101889,237241,24647,808484,9.852225873
NC,2002,8305820,39118,548,2196,12205,24169,353708,99535,229307,24866,785652,9.459054013
NC,2003,8421190,38243,506,2139,12229,23369,359660,100687,232081,26892,795806,9.450042096
NC,2004,8540468,38244,532,2339,11782,23591,355328,101193,227147,26988,787144,9.216637777
NC,2005,8672459,40650,585,2302,12635,25128,353855,104298,221091,28466,789010,9.097881005
NC,2006,8856505,42088,539,2495,13468,25586,364549,107333,227114,30102,813274,9.182787115
NC,2007,9061032,42231,584,2386,13534,25727,369893,108700,233241,27952,824248,9.096623872
NC,2008,9222414,43125,599,2296,14323,25907,372763,111556,234480,26727,831776,9.019070278
NC,2009,9380884,37946,489,2306,11825,23326,343707,107830,215923,19954,763306,8.136823779
NC,2010,9560234,34679,474,2002,9620,22583,329202,102826,208057,18319,727762,7.612386893
NC,2011,9651103,33421,498,1959,9448,21516,337806,105534,215453,16819,742454,7.692944527
NC,2012,9748364,34464,479,1984,9392,22609,328594,99323,213151,16120,726116,7.448593426
NC,2013,9848917,33587,463,1790,9275,21325,305631,90182,201043,14406,677702,6.880979909
NC,2014,9940387,32718,498,1738,8411,21377,285498,79266,192609,13623,635738,6.395505527
NC,2015,10035186,34734,517,2591,8821,22805,275915,74760,187732,13423,621298,6.191195659
NC,2016,10146788,37769,678,2849,9336,24906,277765,72082,190377,15306,631068,6.219386864
ND,1995,641000,556,6,146,64,340,17817,2248,14421,1148,36746,5.732605304
ND,1996,644000,541,14,155,71,301,16648,1991,13433,1224,34378,5.338198758
ND,1997,641000,559,6,159,41,353,16821,2300,13367,1154,34760,5.422776911
ND,1998,638000,570,7,212,65,286,16535,2274,13134,1127,34210,5.362068966
ND,1999,633666,424,10,142,56,216,14748,2337,11375,1036,30344,4.788642597
ND,2000,642200,523,4,169,56,294,14171,2093,11092,986,29388,4.576144503
ND,2001,636550,505,7,164,60,274,14834,2165,11583,1086,30678,4.819417171
ND,2002,633911,496,5,163,58,270,14762,2243,11501,1018,30516,4.813924983
ND,2003,633400,508,9,160,53,286,13364,1959,10327,1078,27744,4.380170508
ND,2004,636308,558,8,177,43,330,12493,2040,9516,937,26102,4.102101498
ND,2005,634605,706,12,180,54,460,12848,2043,9732,1073,27108,4.271633536
ND,2006,635867,1255,14,241,75,925,13359,2601,9672,1086,29228,4.596558714
ND,2007,639715,1343,17,252,75,999,12796,2314,9500,982,28278,4.420405962
ND,2008,641481,1441,11,331,73,1026,13029,2336,9782,911,28940,4.511435257
ND,2009,646844,1723,12,296,107,1308,12813,2426,9474,913,29072,4.494437608
ND,2010,674629,1548,10,245,90,1203,12010,2000,9137,873,27116,4.019394363
ND,2011,684740,1699,24,266,91,1318,13334,2458,9891,985,30066,4.390863685
ND,2012,701345,1723,25,279,127,1292,14297,2429,10687,1181,32040,4.56836507
ND,2013,723857,1979,16,288,161,1447,15356,2979,10942,1435,34603,4.780364077
ND,2014,740040,2001,23,275,175,1421,15857,2751,11559,1547,35609,4.811766932
ND,2015,756835,1949,21,391,159,1378,17716,3296,12686,1734,39330,5.196641276
ND,2016,757952,1903,15,342,181,1365,17402,3243,12195,1964,38610,5.093990121
OH,1995,11151000,53799,600,4835,19931,28433,437424,93539,297624,46261,982446,8.810384719
OH,1996,11173000,47896,538,4617,18336,24405,449935,93336,311071,45528,995662,8.911321937
OH,1997,11186000,48706,523,4566,17755,25862,455799,94972,315908,45419,1009510,9.024763097
OH,1998,11209000,40628,443,4543,14960,20682,444438,90805,310612,43021,970132,8.654937996
OH,1999,11256654,35616,397,4129,14405,16685,414264,87023,288049,39192,899760,7.993138991
OH,2000,11353140,37935,418,4271,15610,17636,420939,88636,293277,39026,917748,8.083649105
OH,2001,11389785,40023,452,4466,17199,17906,435115,96910,295976,42229,950276,8.343230359
OH,2002,11408699,40128,526,4809,17871,16922,428976,99164,287045,42767,938208,8.223619538
OH,2003,11437680,38185,526,4660,16895,16104,417483,95083,281383,41017,911336,7.967839632
OH,2004,11450143,38787,506,4744,17429,16108,419337,96518,282168,40651,916248,8.002066
OH,2005,11470685,40162,590,4671,18673,16228,420705,100183,279051,41471,921734,8.035561956
OH,2006,11478006,41491,560,4770,19418,16743,423334,105639,279718,37977,929650,8.099403328
OH,2007,11466917,40759,529,4661,18351,17218,397681,99049,264677,33955,876880,7.647042357
OH,2008,11485910,40436,547,4531,18706,16652,391667,102428,260788,28451,864206,7.524053384
OH,2009,11542645,38305,527,4119,17670,15989,376446,104009,249777,22660,829502,7.18641178
OH,2010,11537968,36306,479,3730,16486,15611,376836,107125,248581,21130,826284,7.161434318
OH,2011,11541007,35218,500,3679,15991,15048,380572,112901,246744,20927,831580,7.205437099
OH,2012,11553031,34827,478,3813,15396,15140,370435,105312,245372,19751,810524,7.015682724
OH,2013,11572005,33722,478,3594,14483,14370,338414,91090,227799,19525,743475,6.424772544
OH,2014,11596998,33130,464,3825,12780,14658,322517,79466,224942,18109,709891,6.121334159
OH,2015,11605090,34373,522,5441,12617,15793,303743,69994,216354,17395,676232,5.827029347
OH,2016,11614373,34877,654,5589,12523,16111,299357,66883,212807,19667,668468,5.755523781
OK,1995,3278000,21770,400,1461,3788,16121,161693,41694,103727,16272,366926,11.19359365
OK,1996,3301000,19710,223,1545,3519,14423,166892,41447,109506,15939,373204,11.30578613
OK,1997,3317000,18560,229,1517,3446,13368,163698,40015,109039,14644,364516,10.98932771
OK,1998,3347000,18053,204,1513,3078,13258,149426,38268,97593,13565,334958,10.0077084
OK,1999,3358044,17066,231,1375,2785,12675,140220,34472,93616,12132,314572,9.367715253
OK,2000,3450654,17177,182,1422,2615,12958,140125,31661,96116,12348,314604,9.117228212
OK,2001,3469577,17726,185,1486,2746,13309,141679,34573,94537,12569,318810,9.188728194
OK,2002,3489700,17587,163,1573,2966,12885,148128,35171,100185,12772,331430,9.497377998
OK,2003,3506469,17758,206,1501,3224,12827,151208,34846,103404,12958,337932,9.637387355
OK,2004,3523546,17635,186,1557,3090,12802,149472,35244,101271,12957,334214,9.485160688
OK,2005,3543442,18044,187,1481,3230,13146,143406,35692,93814,13900,322900,9.112608588
OK,2006,3579212,17905,210,1488,3145,13062,129728,34437,81853,13438,295266,8.249469436
OK,2007,3617316,18234,224,1565,3392,13053,128714,34367,80747,13600,293896,8.12469798
OK,2008,3642361,19359,215,1471,3698,13975,126535,35247,80265,11023,291788,8.010957728
OK,2009,3687050,18560,234,1535,3358,13433,132350,38071,83813,10466,301820,8.185948116
OK,2010,3760184,18100,195,1469,3345,13091,129464,37848,81303,10313,295128,7.848764848
OK,2011,3784163,17311,212,1410,3288,12401,127618,36462,80064,11092,289858,7.659765185
OK,2012,3815780,18102,220,1622,3248,13012,130969,36094,83131,11744,298142,7.813395951
OK,2013,3853118,17187,198,1715,3023,11652,126418,33512,81624,11282,286611,7.438417406
OK,2014,3879610,16052,180,1361,3073,10937,117445,29963,76719,10763,266493,6.869066736
OK,2015,3907414,16746,240,1953,3018,11535,114055,28783,74678,10594,261602,6.695016192
OK,2016,3923561,17648,245,2039,3162,12202,117037,29103,75779,12155,269370,6.865446975
OR,1995,3141000,16408,129,1309,4332,10638,189765,34640,133075,22050,412346,13.12785737
OR,1996,3204000,14837,129,1272,3914,9522,177295,31664,128618,17013,384264,11.99325843
OR,1997,3243000,14412,95,1306,3811,9200,188916,33507,136129,19280,406656,12.53950046
OR,1998,3282000,13778,126,1307,3452,8893,171545,30442,123841,17262,370646,11.29329677
OR,1999,3316154,12432,88,1219,2858,8267,153434,26749,113052,13633,331732,10.00351612
OR,2000,3421399,12000,70,1286,2888,7756,153780,25618,114230,13932,331560,9.690772693
OR,2001,3473441,10650,84,1174,2749,6643,164524,26648,123034,14842,350348,10.08648196
OR,2002,3520355,10298,72,1238,2742,6246,161145,25696,118925,16524,342886,9.740097235
OR,2003,3564330,10506,68,1218,2847,6373,169863,28562,122327,18974,360738,10.12078006
OR,2004,3591363,10724,90,1283,2751,6600,166475,30072,117868,18535,354398,9.868064019
OR,2005,3638871,10444,80,1266,2478,6620,160199,27621,113316,19262,341286,9.378898015
OR,2006,3700758,10534,88,1219,2711,6516,137858,24324,98897,14637,296784,8.019546266
OR,2007,3747455,11015,76,1276,2864,6799,132773,22979,95157,14637,287576,7.673901354
OR,2008,3790060,9909,87,1183,2656,5983,125169,21115,92677,11377,270156,7.128013805
OR,2009,3825657,9968,88,1202,2499,6179,114780,19739,85064,9977,249496,6.521651052
OR,2010,3838332,9648,96,1239,2421,5892,116657,20035,87494,9128,252610,6.581244145
OR,2011,3868229,9643,84,1239,2237,6083,121869,20704,92059,9106,263024,6.799597439
OR,2012,3899801,9638,91,1159,2419,5969,126417,22051,94114,10252,272110,6.97753552
OR,2013,3928068,9536,82,1000,2394,5596,125083,20808,94363,9912,268774,6.842396822
OR,2014,3971202,10294,84,1165,2270,6320,123142,18690,94177,10275,266417,6.708724462
OR,2015,4024634,10680,110,1650,2163,6757,119752,18541,90514,10697,260864,6.481682558
OR,2016,4093465,10830,113,1721,2278,6718,121345,16866,91286,13193,264350,6.457854165
PA,1995,12072000,51586,755,3046,22858,24927,354623,67815,236991,49817,812418,6.729771372
PA,1996,12056000,57905,686,3034,22784,31401,370851,71357,250758,48736,857512,7.112740544
PA,1997,12020000,53140,705,3289,18788,30358,359323,68218,246892,44213,824926,6.862945092
PA,1998,12001000,50470,633,3223,19787,26827,342318,63777,235873,42668,785576,6.545921173
PA,1999,11994016,50431,592,3279,18670,27890,323021,56037,227750,39234,746904,6.22730535
PA,2000,12281054,51584,602,3247,18155,29580,316274,54080,225869,36325,735716,5.990658457
PA,2001,12303104,50432,651,3467,17500,28814,313408,54345,223350,35713,727680,5.914604965
PA,2002,12328827,49578,624,3731,17163,28060,300868,55610,212441,32817,700892,5.684985279
PA,2003,12370761,49210,647,3556,17980,27027,300639,53918,213279,33442,699698,5.656062711
PA,2004,12394471,50998,650,3535,18474,28339,299611,54443,214199,30969,701218,5.65750648
PA,2005,12405348,52761,756,3586,19214,29205,300444,56134,214916,29394,706410,5.6943989
PA,2006,12440621,55028,741,3611,21095,29581,304589,57739,217142,29708,719234,5.781335192
PA,2007,12432792,51806,725,3443,19440,28198,293850,56091,211248,26511,691312,5.560392227
PA,2008,12448279,51044,705,3485,18873,27981,300294,58687,219115,22492,702676,5.644764228
PA,2009,12604767,48188,664,3626,17504,26394,277182,54772,204588,17822,650740,5.162649972
PA,2010,12717722,46612,653,3472,16375,26112,276366,55206,204440,16720,645956,5.079180061
PA,2011,12743948,46189,639,3339,16165,26046,283442,57966,208604,16872,659262,5.173137869
PA,2012,12764475,45384,707,3371,15735,25571,276562,57040,204409,15113,643892,5.044406448
PA,2013,12781296,42825,611,2728,14739,23680,263176,52000,197410,13766,610935,4.779914337
PA,2014,12793767,40298,610,2785,13545,22304,246982,45718,188211,13053,573506,4.482698489
PA,2015,12791904,40348,665,4299,12965,22419,231941,39573,180236,12132,544578,4.257208309
PA,2016,12784227,40447,661,4433,12326,23027,222795,35520,174228,13047,526484,4.118231005
RI,1995,990000,3643,33,267,914,2429,38378,9234,24780,4364,84042,8.489090909
RI,1996,990000,3437,25,287,824,2301,36099,8135,23367,4597,79072,7.987070707
RI,1997,987000,3292,25,363,707,2197,32777,7083,21499,4195,72138,7.30881459
RI,1998,988000,3084,24,351,659,2050,31672,6452,21391,3829,69512,7.03562753
RI,1999,990819,2840,36,391,788,1625,32657,6341,22284,4032,70994,7.16518355
RI,2000,1048319,3121,45,412,922,1742,33323,6620,22038,4665,72888,6.95284546
RI,2001,1059659,3278,39,416,986,1837,35742,6824,23875,5043,78040,7.36463334
RI,2002,1068326,3051,41,395,916,1699,35342,6415,24051,4876,76786,7.187506435
RI,2003,1076084,3074,25,505,830,1714,32231,5524,22320,4387,70610,6.561755402
RI,2004,1079916,2673,26,320,731,1596,31166,5465,21623,4078,67678,6.266968912
RI,2005,1073579,2710,34,323,776,1577,29287,5319,19567,4401,63994,5.960809591
RI,2006,1067610,2460,27,289,740,1404,27914,5453,18852,3609,60748,5.690092824
RI,2007,1057832,2424,19,258,760,1387,27576,5206,19175,3195,60000,5.671978159
RI,2008,1050788,2656,31,282,880,1463,29895,5766,20926,3203,65102,6.19554087
RI,2009,1053209,2678,32,296,785,1565,27558,5753,19403,2402,60472,5.741690396
RI,2010,1052528,2709,29,298,782,1600,26959,6124,18432,2403,59336,5.637474728
RI,2011,1050646,2586,20,319,744,1503,27976,6836,18765,2375,61124,5.817754029
RI,2012,1050304,2657,26,292,715,1614,27039,5929,18478,2632,59382,5.653791664
RI,2013,1053354,2710,31,333,683,1547,25741,5621,17881,2239,56786,5.390970177
RI,2014,1054907,2320,26,264,530,1398,22982,4830,16317,1835,50502,4.787341443
RI,2015,1055607,2565,31,467,547,1520,20038,3938,14714,1386,45206,4.28246497
RI,2016,1056426,2524,29,442,540,1513,20058,3788,14674,1596,45164,4.275169297
SC,1995,3673000,36067,292,1737,6461,27577,186656,46083,126416,14157,445446,12.12757964
SC,1996,3699000,36875,332,1821,6361,28361,192986,47487,129650,15849,459722,12.42827791
SC,1997,3760000,37235,314,1837,6624,28460,193402,46322,131325,15755,461274,12.26792553
SC,1998,3836000,34647,306,1753,5943,26645,186960,44600,126412,15948,443214,11.55406674
SC,1999,3885736,32920,258,1587,5760,25315,173987,39630,119912,14445,413814,10.64956549
SC,2000,4012012,33225,291,1660,6220,25054,181290,40319,125385,15586,429030,10.69363701
SC,2001,4062125,33114,330,1769,5987,25028,186054,42611,126742,16701,438336,10.79080531
SC,2002,4103770,33761,298,1959,5774,25730,183808,43745,123196,16867,435138,10.60337202
SC,2003,4148744,33455,303,1952,5801,25399,187592,43993,127809,15790,442094,10.65609254
SC,2004,4197892,33160,286,1772,5468,25634,190456,43739,130991,15726,447232,10.65372811
SC,2005,4246933,32590,314,1862,5657,24757,185606,42741,126489,16376,436392,10.27546232
SC,2006,4321249,33322,362,1834,5902,25224,184712,42952,125075,16685,436068,10.09124908
SC,2007,4407709,34630,364,1773,6354,26139,189304,45398,126802,17104,447868,10.16101562
SC,2008,4479800,32746,307,1686,6595,24158,189950,45964,126316,17670,445392,9.942229564
SC,2009,4561242,30799,305,1663,5753,23078,178310,45443,119250,13617,418218,9.168950036
SC,2010,4637106,27923,265,1551,5017,21090,181098,46261,121544,13293,418042,9.015148672
SC,2011,4673348,27894,320,1678,4631,21265,183243,47351,122255,13637,422274,9.035791899
SC,2012,4723417,26474,332,1712,4511,19919,181049,45222,122340,13487,415046,8.786986201
SC,2013,4771929,24263,305,1739,3965,17760,173261,40930,119730,12601,394554,8.268228635
SC,2014,4829160,24038,322,1522,4018,17513,168281,37163,118173,12945,383975,7.951175774
SC,2015,4894834,24448,407,2439,3950,17652,162830,34942,114778,13110,374556,7.652067465
SC,2016,4961119,24896,366,2387,4035,18108,160928,32976,114032,13920,371648,7.491213172
SD,1995,729000,1513,13,299,189,1012,20799,3942,15976,881,44624,6.121262003
SD,1996,732000,1297,9,300,138,850,20443,4077,15532,834,43480,5.93989071
SD,1997,738000,1457,10,357,172,918,22491,4088,17545,858,47896,6.4899729
SD,1998,738000,1139,10,258,149,722,18227,3458,14006,763,38732,5.248238482
SD,1999,733133,1227,18,336,103,770,18159,3255,14043,861,38772,5.288535641
SD,2000,754844,1259,7,305,131,816,16252,2896,12558,798,35022,4.63963415
SD,2001,758324,1171,7,351,103,710,16473,3087,12571,815,35288,4.65341991
SD,2002,760437,1350,11,361,117,861,15992,3034,12139,819,34684,4.5610616
SD,2003,764905,1329,10,356,104,859,15324,2878,11572,874,33306,4.354266216
SD,2004,770621,1319,17,336,112,854,14885,3148,10890,847,32408,4.205439509
SD,2005,774883,1387,18,377,145,847,13694,2505,10350,839,30162,3.892458603
SD,2006,781919,2071,30,465,158,1418,13812,3024,9954,834,31766,4.062569141
SD,2007,796214,1926,31,433,118,1344,13829,2647,10398,784,31510,3.957478768
SD,2008,804194,2227,37,562,134,1494,13867,2683,10266,918,32188,4.002516806
SD,2009,812383,1777,30,501,117,1129,14378,2621,10891,866,32310,3.9771881
SD,2010,816598,2196,23,385,154,1634,15188,3192,11196,800,34768,4.257664114
SD,2011,823593,2105,20,503,167,1415,15299,2927,11423,949,34808,4.226359379
SD,2012,834047,2701,23,600,157,1921,17326,3280,12973,1073,40054,4.802367253
SD,2013,845510,2733,18,454,156,2052,16274,3383,11955,936,37961,4.489716266
SD,2014,853304,2801,23,336,199,2101,16036,2817,12209,1010,37532,4.398432446
SD,2015,857919,3302,33,500,215,2554,16739,2969,12576,1194,40082,4.672002835
SD,2016,865454,3621,27,509,272,2813,17141,3000,12639,1502,41524,4.7979442
TN,1995,5256000,40549,557,2477,11732,25783,241315,60086,147143,34086,563728,10.72541857
TN,1996,5320000,41175,503,2475,11902,26295,248729,61896,152405,34428,579808,10.89864662
TN,1997,5368000,42389,511,3056,11487,27335,253484,62899,156843,33742,591746,11.0235842
TN,1998,5431000,38832,460,2485,9667,26220,234588,58432,148057,28099,546840,10.06886393
TN,1999,5483535,38111,391,2415,8598,26707,219302,51362,142685,25255,514826,9.388578718
TN,2000,5689283,40233,410,2186,9465,28172,237985,56344,154111,27530,556436,9.780424001
TN,2001,5749398,42776,423,2196,10219,29938,252992,59705,165015,28272,591536,10.28865979
TN,2002,5789796,41562,420,2290,9413,29439,249399,61248,161610,26541,581922,10.05082044
TN,2003,5845208,40409,396,2129,9413,28471,256565,63323,166769,26473,593948,10.16128083
TN,2004,5893298,41113,357,2282,8863,29611,254991,60386,169828,24777,592208,10.04883853
TN,2005,5955745,45104,431,2194,10009,32470,256093,61508,169357,25228,602394,10.11450289
TN,2006,6038803,46043,419,2194,11143,32287,249860,63024,164183,22653,591806,9.800054746
TN,2007,6156719,46482,405,2201,11033,32843,252342,61817,168807,21718,597648,9.707248292
TN,2008,6214888,44913,412,2078,10804,31619,251089,65093,166793,19203,592004,9.525577935
TN,2009,6296254,41933,468,2019,9653,29793,237157,63832,158309,15016,558180,8.865271318
TN,2010,6357436,38909,359,2173,8361,28016,232855,64293,153729,14833,543528,8.549484415
TN,2011,6399787,38895,380,2095,8082,28338,230900,62830,153928,14142,539590,8.431374357
TN,2012,6454914,41213,400,2047,8151,30615,217925,56231,148731,12963,518276,8.029169715
TN,2013,6497269,38063,335,1904,7333,27895,207683,51334,144443,11906,490896,7.555420593
TN,2014,6547779,39989,369,1870,7268,29757,200911,46798,141464,12649,481075,7.347147789
TN,2015,6595056,40816,418,2801,7499,30098,196047,43753,139259,13035,473726,7.183047422
TN,2016,6651194,42097,486,2714,7813,31084,189835,40312,134404,15119,463864,6.974146296
TX,1995,18724000,124303,1693,8563,33667,80380,940033,202642,632468,104923,2128672,11.36868191
TX,1996,19128000,123270,1477,8376,32804,80613,968732,204390,659414,104928,2184004,11.41783772
TX,1997,19439000,117126,1327,8011,30522,77266,948231,201059,645451,101721,2130714,10.9610268
TX,1998,19760000,111566,1346,7913,28677,73630,898496,194883,606967,96646,2020124,10.2232996
